Date,Open,High,Low,Close
06/12/2023,"13.50","13.50","13.02","13.12"
06/09/2023,"13.85","13.95","13.52","13.54"
06/08/2023,"13.77","14.05","13.72","13.85"
06/07/2023,"14.24","14.40","13.75","13.83"
06/06/2023,"13.50","14.54","13.39","14.47"
06/05/2023,"14.22","14.26","13.39","13.68"
06/02/2023,"14.15","14.41","14.11","14.38"
06/01/2023,"13.74","14.08","13.71","14.05"
05/31/2023,"13.95","14.03","13.75","13.89"
05/30/2023,"14.31","14.50","14.06","14.35"
05/26/2023,"13.81","14.18","13.71","13.83"
05/25/2023,"13.82","13.89","13.62","13.76"
05/24/2023,"14.10","14.14","13.59","13.70"
05/23/2023,"14.33","14.65","14.28","14.33"
05/22/2023,"14.32","14.57","14.16","14.19"
05/19/2023,"14.48","14.55","14.26","14.39"
05/18/2023,"14.88","14.94","14.24","14.42"
05/17/2023,"14.51","15.06","14.38","15.02"
05/16/2023,"14.84","14.90","14.57","14.63"
05/15/2023,"14.64","15.09","14.42","15.00"
05/12/2023,"14.38","14.79","13.89","14.26"
05/11/2023,"15.31","15.32","14.46","14.66"
05/10/2023,"15.84","16.20","15.03","15.39"
05/09/2023,"15.59","15.94","15.54","15.66"
05/08/2023,"16.12","16.24","15.44","15.51"
05/05/2023,"16.58","16.95","16.55","16.81"
05/04/2023,"16.47","16.84","16.38","16.55"
05/03/2023,"15.97","16.36","15.90","16.35"
05/02/2023,"15.32","16.25","15.30","16.21"
05/01/2023,"16.13","16.18","15.25","15.25"
04/28/2023,"16.26","16.51","15.95","16.42"
04/27/2023,"15.59","16.60","15.52","16.44"
04/26/2023,"16.05","16.25","14.97","15.10"
04/25/2023,"15.01","15.10","14.60","14.96"
04/24/2023,"15.14","15.51","14.78","14.99"
04/21/2023,"15.71","15.83","15.16","15.20"
04/20/2023,"16.12","16.17","15.75","15.82"
04/19/2023,"16.77","16.89","15.91","16.34"
04/18/2023,"17.24","17.62","17.03","17.14"
04/17/2023,"16.80","16.90","16.49","16.81"
04/14/2023,"17.97","18.27","17.13","17.43"
04/13/2023,"17.29","18.00","17.27","17.70"
04/12/2023,"17.76","17.78","17.06","17.07"
04/11/2023,"17.72","18.40","17.56","17.72"
04/10/2023,"16.31","17.54","16.25","17.14"
04/06/2023,"16.14","16.30","15.81","16.21"
04/05/2023,"15.99","16.24","15.86","16.19"
04/04/2023,"16.21","16.21","15.90","15.96"
04/03/2023,"16.34","16.46","15.83","16.05"
03/31/2023,"15.92","16.42","15.91","16.36"
03/30/2023,"16.17","16.18","15.40","15.82"
03/29/2023,"16.10","16.47","15.78","15.84"
03/28/2023,"15.05","15.89","15.02","15.61"
03/27/2023,"15.63","15.95","15.01","15.23"
03/24/2023,"15.91","16.24","15.62","16.00"
03/23/2023,"15.48","16.35","15.30","16.10"
03/22/2023,"16.08","16.75","15.06","15.08"
03/21/2023,"16.11","16.15","15.56","16.00"
03/20/2023,"16.02","16.24","15.78","16.00"
03/17/2023,"14.76","15.54","14.66","15.43"
03/16/2023,"13.26","14.20","13.19","14.05"
03/15/2023,"13.55","13.57","12.70","13.27"
03/14/2023,"13.42","13.60","13.21","13.49"
03/13/2023,"12.24","12.98","11.75","12.65"
03/10/2023,"11.60","12.20","11.14","11.23"
03/09/2023,"13.06","13.18","11.71","11.80"
03/08/2023,"12.65","13.54","12.50","13.24"
03/07/2023,"11.77","13.49","11.40","12.90"
03/06/2023,"11.23","11.89","11.14","11.77"
03/03/2023,"11.02","11.51","10.89","11.25"
03/02/2023,"11.50","11.56","11.23","11.51"
03/01/2023,"11.67","11.88","11.51","11.51"
02/28/2023,"11.47","11.77","11.43","11.54"
02/27/2023,"11.74","11.92","11.42","11.49"
02/24/2023,"11.79","11.86","11.20","11.46"
02/23/2023,"11.90","11.92","11.58","11.89"
02/22/2023,"11.71","11.88","11.29","11.58"
02/21/2023,"12.20","12.28","11.85","11.88"
02/17/2023,"11.66","12.28","11.63","12.20"
02/16/2023,"12.03","12.68","11.88","11.89"
02/15/2023,"11.13","12.25","11.09","12.17"
02/14/2023,"10.39","10.93","10.30","10.85"
02/13/2023,"10.56","10.65","10.27","10.39"
02/10/2023,"10.64","10.83","10.56","10.67"
02/09/2023,"11.72","11.79","10.56","10.63"
02/08/2023,"12.21","12.22","11.66","11.75"
02/07/2023,"11.93","12.18","11.75","12.15"
02/06/2023,"12.20","12.25","11.91","11.93"
02/03/2023,"12.72","12.88","12.29","12.32"
02/02/2023,"12.86","13.30","12.52","12.93"
02/01/2023,"12.17","12.69","11.86","12.65"
01/31/2023,"11.95","12.27","11.94","12.15"
01/30/2023,"12.34","12.43","11.85","11.89"
01/27/2023,"12.16","12.56","12.06","12.36"
01/26/2023,"12.21","12.31","11.81","12.24"
01/25/2023,"11.77","12.19","11.35","12.11"
01/24/2023,"12.30","12.35","11.83","11.97"
01/23/2023,"12.31","12.82","11.88","12.28"
01/20/2023,"11.50","12.25","11.23","12.18"
01/19/2023,"10.55","11.87","10.54","11.46"
01/18/2023,"11.94","12.00","10.51","10.83"
01/17/2023,"12.02","12.45","11.30","11.72"
01/13/2023,"10.31","11.43","10.22","11.32"
01/12/2023,"10.21","11.24","9.90","10.49"
01/11/2023,"9.64","9.96","9.26","9.80"
01/10/2023,"9.71","9.95","9.45","9.88"
01/09/2023,"8.83","9.83","8.82","9.65"
01/06/2023,"8.31","8.69","8.25","8.65"
01/05/2023,"8.37","8.49","8.21","8.45"
01/04/2023,"8.28","8.45","8.13","8.38"
01/03/2023,"8.22","8.24","8.01","8.20"
12/30/2022,"7.80","8.30","7.79","8.29"
12/29/2022,"7.75","8.04","7.74","7.98"
12/28/2022,"7.84","7.97","7.73","7.80"
12/27/2022,"8.05","8.20","7.85","7.86"
12/23/2022,"8.07","8.37","8.05","8.33"
12/22/2022,"8.17","8.20","7.94","8.15"
12/21/2022,"8.00","8.07","7.92","8.05"
